Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Bumi belum berbentuk dan kosong; gelap gulita menutupi samudera raya, dan Roh Allah melayang-layang di atas permukaan air.	bume reya gi’ ta’ etemmo bangonna ban gi’ ta’ etemmo karowanna kabadha’anna. Kabbi gi’ katotoban tase’ raja. Dineng tase’ raja jareya omba’na raja tor petteng calemodan, tape kobasana Allah ngabang e bagiyan attassa aeng.
Berfirmanlah Allah: "Jadilah terang." Lalu terang itu jadi.	Allah adhabu, "Mara tera’!" Kabadha’an laju tera’.
Allah melihat bahwa terang itu baik, lalu dipisahkan-Nyalah terang itu dari gelap.	Allah ngoladi ja’ tera’ jareya bagus. Se tera’ laju epalaen dhari se petteng.
Dan Allah menamai terang itu siang, dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama.	Se tera’ jareya eparenge nyama "Seyang," dineng se petteng eparenge nyama "Malem". Malem la lebat pas agante laggu. Jareya are se kapeng settong.
Berfirmanlah Allah: "Jadilah cakrawala di tengah segala air untuk memisahkan air dari air."	Allah adhabu, "Mara metto kubah se raja sopaja aeng reya daddiya dhu bagiyan, ban bagiyan se dhadhuwa’ jareya sopaja ta’ acampowa pole." Se edhabuwagi Allah jareya kalakon. Daddi Allah la abadhi kubah se malaen aeng se badha e baba’anna dhari aeng se badha e attasanna.
Lalu Allah menamai cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua.	Kubah jareya eparenge nyama "Langnge’". Malem la lebat pas agante laggu. Jareya are se kapeng dhuwa’.
Berfirmanlah Allah: "Hendaklah segala air yang di bawah langit berkumpul pada satu tempat, sehingga kelihatan yang kering." Dan jadilah demikian.	Saellana jareya Allah adhabu, "Mara aeng se badha e baba’anna langnge’ reya agili akompol ka settong kennengngan, sopaja tana etangaleyana." Se edhabuwagi Allah jareya kalakon.
Lalu Allah menamai yang kering itu darat, dan kumpulan air itu dinamai-Nya laut. Allah melihat bahwa semuanya itu baik.	Tana jareya eparenge nyama "Tenggangan" ban aeng se masettong eparenge nyama "Tase’". Ban Allah senneng ngoladi jareya.
Berfirmanlah Allah: "Hendaklah tanah menumbuhkan tunas-tunas muda, tumbuh-tumbuhan yang berbiji, segala jenis pohon buah-buahan yang menghasilkan buah yang berbiji, supaya ada tumbuh-tumbuhan di bumi." Dan jadilah demikian.	Allah laju adhabu pole, "Mara tana makalowar samacemma ka’-bungka’an se ngasellagi gi-bigi ban se ngasellagi wa’-buwa’an." Se edhabuwagi Allah jareya kalakon.
Tanah itu menumbuhkan tunas-tunas muda, segala jenis tumbuh-tumbuhan yang berbiji dan segala jenis pohon-pohonan yang menghasilkan buah yang berbiji. Allah melihat bahwa semuanya itu baik.	Daddi tana makalowar samacemma bu-tombuwan se ngasellagi gi-bigi ban wa’-buwa’an. Allah ngoladi ja’ jareya kabbi bagus.
