Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Pada tahun yang ketiga pergilah Yosafat, raja Yehuda, kepada raja Israel.	Tape e taon se kapeng tello’, Yosafat rato Yehuda meyos ka Ahab rato Isra’il.
Berkatalah raja Israel kepada pegawai-pegawainya: "Tahukah kamu, bahwa Ramot-Gilead sebenarnya milik kita? Tetapi kita tinggal diam saja dan tidak merebutnya dari tangan raja negeri Aram."	Sabellunna jareya Ahab la adhabu ka para parwirana, "Ba’na kabbi tao ja’ kottha Ramot e Gileyad rowa andhi’na Isra’il! Daddi arapa me’ ta’ erebbu’ pole dhari Siria?"
Lalu katanya kepada Yosafat: "Maukah engkau pergi bersama-sama aku untuk memerangi Ramot-Gilead?" Jawab Yosafat kepada raja Israel: "Kita sama-sama, aku dan engkau, rakyatku dan rakyatmu, kudaku dan kudamu."	Daddi e bakto Yosafat rabu ka jadhiya, Ahab atanya, "Sampeyan ba’ kasokana nyerrang Ramot asareng bangsa Isra’il?" Saodda Yosafat, "Enggi, sae! Ngereng manabi asarengnga. Tantara sareng pasukan jaranna kaula pagabung sareng tantara sarta pasukan jarannepon sampeyan.
Tetapi Yosafat berkata kepada raja Israel: "Baiklah tanyakan dahulu firman TUHAN."	Namong langkong sae atanya dhimen ka PANGERAN."
Lalu raja Israel mengumpulkan para nabi, kira-kira empat ratus orang banyaknya, kemudian bertanyalah ia kepada mereka: "Apakah aku boleh pergi berperang melawan Ramot-Gilead atau aku membatalkannya?" Jawab mereka: "Majulah! Tuhan akan menyerahkannya ke dalam tangan raja."	Daddi Ahab pas makompol para nabbi bannya’na ra-kera pa’ ratos oreng, dhabuna Ahab ka bi-nabbi jareya, "Sengko’ ba’ olleya entar nyerrang Ramot apa enja’?" "Kengeng!" ca’na para nabbi jareya. "Pangeran badhi massra’agi kottha gapaneka ka junandalem."
Tetapi Yosafat bertanya: "Tidak adakah lagi di sini seorang nabi TUHAN, supaya dengan perantaraannya kita dapat meminta petunjuk?"	Tape Yosafat atanya, "Ponapa e ka’into tadha’ nabbi laen se bisa nolong sampeyan sareng kaula atanya ka PANGERAN?"
Jawab raja Israel kepada Yosafat: "Masih ada seorang lagi yang dengan perantaraannya dapat diminta petunjuk TUHAN. Tetapi aku membenci dia, sebab tidak pernah ia menubuatkan yang baik tentang aku, melainkan malapetaka. Orang itu ialah Mikha bin Yimla." Kata Yosafat: "Janganlah raja berkata demikian."	Saodda Ahab, "Gi’ badha kasorang, Mikha pottrana Yimla. Tape kaula baji’ ka nabbi ganeka, polana ta’ oneng aramal parkara se sae parkara kaula; ramalanna masthe barang se ta’ sae." "Ba, ampon ja’ adhabu sapaneka!" saodda Yosafat.
Kemudian raja Israel memanggil seorang pegawai istana, katanya: "Jemputlah Mikha bin Yimla dengan segera!"	Daddi Ahab adikane ponggaba karaton, epakon duli ngone’e Mikha.
Sementara raja Israel dan Yosafat, raja Yehuda, duduk masing-masing di atas takhtanya dengan pakaian kebesaran, di suatu tempat pengirikan di depan pintu gerbang Samaria, sedang semua nabi itu bernubuat di depan mereka,	E bakto jareya Ahab ban Yosafat ngagem rasogan kabessaran, padha alenggi e korse karaja’an e pagebba’anna gandum e adha’na labang sakethengnga Samaria, dineng para nabbi padha ngadhep, notorragi ramalanna bang-sebang.
maka Zedekia bin Kenaana membuat tanduk-tanduk besi, lalu berkata: "Beginilah firman TUHAN: Dengan ini engkau akan menanduk Aram sampai engkau menghabiskan mereka."	Badha settong e antarana se anyama Zedekiya, pottrana Kena’ana, agabay dhu’-tandhu’ besse pas mator ka Ahab, "Dhabuna PANGERAN kadi ka’dhinto, ‘Mon aperranga ban Siria ba’na ngangguy dhu’-tandhu’ reya, ba’na tanto mennang.’"
