Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
Pujilah Dia karena segala keperkasaan-Nya, pujilah Dia sesuai dengan kebesaran-Nya yang hebat!	Molja’agi Salerana lantaran kaparjuga’anna. Molja’agi Salerana lantaran kaagunganna se raja.
Pujilah Dia dengan tiupan sangkakala, pujilah Dia dengan gambus dan kecapi!	Molja’agi Salerana ban monyena tarompet, molja’agi Salerana ban gambus sarta calempong.
Pujilah Dia dengan rebana dan tari-tarian, pujilah Dia dengan permainan kecapi dan seruling!	Molja’agi Salerana ban terbang sarta ri-tariyan, molja’agi Salerana ban calempong sarta soleng.
Pujilah Dia dengan ceracap yang berdenting, pujilah Dia dengan ceracap yang berdentang!	Molja’agi Salerana ban canang se ngaranang, molja’agi Salerana ban canang se ngareneng.
Biarlah segala yang bernafas memuji TUHAN! Haleluya!	Sakabbinna mahlok se odhi’, mara molja’agi PANGERAN! Molja’agi PANGERAN!
Haleluya! Nyanyikanlah bagi TUHAN nyanyian baru! Pujilah Dia dalam jemaah orang-orang saleh.	Molja’agi PANGERAN! Mara anyanye lagu se anyar kaator ka PANGERAN, molja’agi Salerana e dhalem kompolanna ommadda.
Biarlah Israel bersukacita atas Yang menjadikannya, biarlah bani Sion bersorak-sorak atas raja mereka!	Mara paperak, Isra’il, lantaran Se Nyepta’agi ba’na; mara pasenneng pandhudhu’ Siyon, lantaran Ratona ba’na!
Biarlah mereka memuji-muji nama-Nya dengan tari-tarian, biarlah mereka bermazmur kepada-Nya dengan rebana dan kecapi!	Molja’agi asmana ngangguy ri-tariyan, molja’agi Salerana ngangguy calempong ban terbang.
Sebab TUHAN berkenan kepada umat-Nya, Ia memahkotai orang-orang yang rendah hati dengan keselamatan.	PANGERAN kasokan ka ommadda; oreng se andhap asor eparenge kamennangan.
Biarlah orang-orang saleh beria-ria dalam kemuliaan, biarlah mereka bersorak-sorai di atas tempat tidur mereka!	Dina ommadda Allah me’ olle anga-bunga lantaran kajaja’anna, ban anyanye kalaban senneng ate samalem benteng.
Biarlah pujian pengagungan Allah ada dalam kerongkongan mereka, dan pedang bermata dua di tangan mereka,	Dina reng-oreng jareya me’ olle ngagungngagi Allah kalaban sowara se ranyeng, sambi neggu’ peddhang se la egangse
untuk melakukan pembalasan terhadap bangsa-bangsa, penyiksaan-penyiksaan terhadap suku-suku bangsa,	kaangguy males ka sa-bangsa ban ngokom ku-suku bangsa;
untuk membelenggu raja-raja mereka dengan rantai, dan orang-orang mereka yang mulia dengan tali-tali besi,	kaangguy ngalenthong to-rato ban arantay para pangobasana;
