Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
"Pada hari yang pertama dari bulan yang pertama haruslah engkau mendirikan Kemah Suci, yakni Kemah Pertemuan itu.	"Tang Kemah paddek e tanggal settong bulan settong.
Kautempatkanlah di dalamnya tabut hukum dan kaupasanglah tabir sebagai penudung di depan tabut itu.	Petthe Parjanjiyan se aesse Tang Papakon se Sapolo rowa saba’ e dhalemmanna, e adha’anna pobuwi bir-tabir.
Kaubawalah ke dalamnya meja dan taruhlah di atasnya perkakas menurut susunannya; kaubawalah ke dalamnya kandil dan kaupasang lampu-lampunya di atasnya.	E dhalemmanna pobuwi meja ban e attasanna meja jareya saba’ sakabbinna parlengkabanna se ekaparlo; pobuwi keya ko’tongko’na damar ban damar se kodu esaba’e attasanna ko’-tongko’ jareya.
Kautaruhlah mezbah emas untuk membakar ukupan di depan tabut hukum. Kaugantungkanlah tirai pintu Kemah Suci.	E adha’anna Petthe Parjanjiyan jareya pobuwi mezba dhari emmas kaangguy ngobbar dupa, e labangnga Kemah pobuwi bir-tabir.
Kautaruhlah mezbah korban bakaran di depan pintu Kemah Suci, yakni Kemah Pertemuan itu.	E adha’anna Kemah jareya pobuwi mezba kaangguy kurban obbaran
Kautaruhlah bejana pembasuhan di antara Kemah Pertemuan dan mezbah itu, lalu kautaruhlah air ke dalamnya.	cemmong baddhana aeng saba’ e antarana Kemah ban mezba, pas esse’e aeng.
Haruslah kaubuat pelataran keliling dan kaugantungkanlah tirai pintu gerbang pelataran itu.	E taneyanna Kemah jareya sakalenglengnga pobuwi lajar, ban e labangnga taneyan jareya pobuwi bir-tabir.
Kemudian kauambillah minyak urapan dan kauurapilah Kemah Suci dengan segala yang ada di dalamnya; demikianlah harus engkau menguduskannya, dengan segala perabotannya, sehingga menjadi kudus.	Mon la mare, Kemah ban kas-pakakassa kodu esocceyagi kabbi. Carana iya areya Kemah ban kas-pakakassa jareya mennya’e mennya’ opacara. Kalaban cara se kantha jareya, Kemah ban kas-pakakassa jareya la ekusussagi ka Sengko’.
Juga kauurapilah mezbah korban bakaran itu dengan segala perkakasnya; demikianlah engkau harus menguduskan mezbah itu, sehingga mezbah itu maha kudus.	Mezba ban kas-pakakassa kodu esocceyagi kalaban cara se kantha jareya keya, sopaja kabbi ekusussagiya ka Sengko’.
Juga kauurapilah bejana pembasuhan itu dengan alasnya, dan demikianlah engkau harus menguduskannya.	Bariya keya cemmong baddhana aeng ban ga’-tengga’na rowa kodu esocceyagi keya.
Kemudian kausuruhlah Harun dan anak-anaknya datang ke pintu Kemah Pertemuan dan kaubasuhlah mereka dengan air.	Saellana jareya Harun ban na’-ana’na soro entar ka labangnga Kemah Socce jareya, pas soro socce’e kabbi.
Kaukenakanlah pakaian yang kudus kepada Harun, kauurapi dan kaukuduskanlah dia supaya ia memegang jabatan imam bagi-Ku.	Harun angguyi pangangguyya imam, pas mennya’e, sopaja Harun daddi imam se ngabdi ka Sengko’ malolo.
Juga anak-anaknya kausuruhlah mendekat dan kaukenakanlah kemeja kepada mereka.	Saellana jareya na’-ana’na soro nyander ka seddi’anna, pas pangangguy kameja.
Urapilah mereka, seperti engkau mengurapi ayah mereka, supaya mereka memegang jabatan imam bagi-Ku; dan ini terjadi, supaya berdasarkan pengurapan itu mereka memegang jabatan imam untuk selama-lamanya turun-temurun."	Saellana pas mennya’e, papadha ban se amennya’e eppa’na, sopaja na’-ana’na Harun jareya daddi imam se ngabdi ka Sengko’ malolo. Kalaban opacara se kantha jareya sukuna Harun ron-temoron bakal neggu’a jabatan imam."
Dan Musa melakukan semuanya itu tepat seperti yang diperintahkan TUHAN kepadanya, demikianlah dilakukannya.	Mosa alampa’agi sabarang se edhabuwagi PANGERAN jareya.
Dan terjadilah dalam bulan yang pertama tahun yang kedua, pada tanggal satu bulan itu, maka didirikanlah Kemah Suci.	Daddi e tanggal settong bulan settong e taon se kapeng dhuwa’ saellana bangsa Isra’il ondur dhari Messer, Kemah Socce jareya la epaddek.
Musa mendirikan Kemah Suci itu, dipasangnyalah alas-alasnya, ditaruhnya papan-papannya, dipasangnya kayu-kayu lintangnya dan didirikannya tiang-tiangnya.	Mosa masang gan-langganna, majaga rangkana, masang ju-kajuna se malang sarta masang ga-canggana.
Dikembangkannyalah atap kemah yang menudungi Kemah Suci dan diletakkannyalah tudung kemah di atasnya--seperti yang diperintahkan TUHAN kepada Musa.	Saellana jareya pas epasang ata’na, e bagiyan lowar e attasanna, etotobi, menorot se edhabuwagi PANGERAN.
Diambilnyalah loh hukum Allah dan ditaruhnya ke dalam tabut, dikenakannyalah kayu pengusung pada tabut itu dan diletakkannya tutup pendamaian di atas tabut itu.	Papan batona se dhadhuwa’ epondhut, pas esaba’ ka dhalem Petthe Parjanjiyan Totobba Petthena epasang, kol-pekolla esono’agi ka long-kolongnga.
Dibawanyalah tabut itu ke dalam Kemah Suci, digantungkannyalah tabir penudung dan dipasangnya sebagai penudung di depan tabut hukum Allah--seperti yang diperintahkan TUHAN kepada Musa.	Petthe jareya pas esaba’ e dhalem Kemah, e adha’anna epobuwi bir-tabir, menorot se edhabuwagi PANGERAN.
Ditaruhnyalah meja di dalam Kemah Pertemuan pada sisi Kemah Suci sebelah utara, di depan tabir itu.	Mosa nyaba’ meja e dhalem Kemah jareya, e bagiyan dhaja e lowaranna bir-tabir,
Diletakkannyalah di atasnya roti sajian menurut susunannya, di hadapan TUHAN--seperti yang diperintahkan TUHAN kepada Musa.	e attasanna meja jareya esaba’i roti sasajin, akantha se la edhabuwagi PANGERAN.
Ditempatkannyalah kandil di dalam Kemah Pertemuan berhadapan dengan meja itu, pada sisi Kemah Suci sebelah selatan.	Ga’-tengga’na damarra esaba’ e dhalem, e bagiyan lao’, epadhep-adhebban bi’ mejana.
Dipasangnyalah lampu-lampu di atasnya di hadapan TUHAN--seperti yang diperintahkan TUHAN kepada Musa.	Mar-damarra eodhi’i e ajunanna PANGERAN.
Ditempatkannyalah mezbah emas di dalam Kemah Pertemuan di depan tabir itu.	Mezbana se dhari emmas esaba’ e dhalem Kemah, e adha’anna bir-tabirra.
Dibakarnyalah di atasnya ukupan dari wangi-wangian seperti yang diperintahkan TUHAN kepada Musa.	Mosa pas ngobbar dupa se ro’om e attasa meja jareya.
Digantungkannyalah tirai pintu Kemah Suci.	E Labangnga Kemah jareya bi’ Mosa epobuwi bir-tabir,
Mezbah korban bakaran ditempatkannyalah di depan pintu Kemah Suci, yakni Kemah Pertemuan itu, dan dipersembahkannyalah di atasnya korban bakaran dan korban sajian--seperti yang diperintahkan TUHAN kepada Musa.	e adha’anna labangnga Kemah epobuwi mezba kennengnganna kurban obbaran ban kurban sasajin.
Ditempatkannyalah bejana pembasuhan di antara Kemah Pertemuan dan mezbah itu, lalu ditaruhnyalah air ke dalamnya untuk pembasuhan.	Cemmong baddhana aeng pabaccowan esaba’ e antarana Kemah ban mezba, pas eesse’e aeng.
Musa dan Harun serta anak-anaknya membasuh tangan dan kaki mereka dengan air dari dalamnya.	Mosa, Harun ban tra-pottrana maccowe asta ban padana e jadhiya,
Apabila mereka masuk ke dalam Kemah Pertemuan dan apabila mereka datang mendekat kepada mezbah itu, maka mereka membasuh kaki dan tangan--seperti yang diperintahkan TUHAN kepada Musa.	sabban maso’a ka Kemah Socce jareya otaba mon entara ka seddi’anna mezba.
Didirikannyalah tiang-tiang pelataran sekeliling Kemah Suci dan mezbah itu, dan digantungkannyalah tirai pintu gerbang pelataran itu. Demikianlah diselesaikan Musa pekerjaan itu.	E sakalenglengnga Kemah ban mezba jareya bi’ Mosa epasange ga-canggana taneyan se epasange lajar, dineng labangnga taneyanna epasange bir-tabir. Daddi lalakon jareya la mare kabbi.
Lalu awan itu menutupi Kemah Pertemuan, dan kemuliaan TUHAN memenuhi Kemah Suci,	Saellana jareya pas toron ondhem se notobi Kemah Socce jareya, ban sonar kahadiranna PANGERAN mossa’e Kemah jareya.
sehingga Musa tidak dapat memasuki Kemah Pertemuan, sebab awan itu hinggap di atas kemah itu, dan kemuliaan TUHAN memenuhi Kemah Suci.	Daddi Mosa ta’ bisa maso’ ka Kemah jareya.
Apabila awan itu naik dari atas Kemah Suci, berangkatlah orang Israel dari setiap tempat mereka berkemah.	Mon ondhem jareya ongga kalowar dhari Kemah jareya, bangsa Isra’il abungkar kemahna bang-sebang, pas ngalle ka kennengngan laen.
Tetapi jika awan itu tidak naik, maka merekapun tidak berangkat sampai hari awan itu naik.	Tape mon ondhem jareya ta’ ongga, bangsa Isra’il paggun ta’ aginjeggan dhari kennengnganna.
Sebab awan TUHAN itu ada di atas Kemah Suci pada siang hari, dan pada malam hari ada api di dalamnya, di depan mata seluruh umat Israel pada setiap tempat mereka berkemah.	Saabidda bangsa Isra’il jareya badha e dhalem parjalanan, PANGERAN alenggi e Kemah jareya aropa ondhem e bakto seyang ban apoy e bakto malem.
Dari kain ungu tua, kain ungu muda dan kain kirmizi dibuat merekalah pakaian jabatan yang dipakai apabila diselenggarakan kebaktian di tempat kudus; juga dibuat mereka pakaian-pakaian kudus untuk Harun, seperti yang diperintahkan TUHAN kepada Musa.	Bezale’el ban Aholiyab agabay pangangguyya kabakteyan dhari wol bungo, bungo terrong ban mera, se eangguya para imam e bakto ajalannagi kawajibanna e Rowangan Se Socce. Pangangguyya imam se eagemma Harun ekagabay menorot se epakonnagi PANGERAN ka Mosa.
Dibuatnyalah baju efod dari emas, kain ungu tua dan kain ungu muda, kain kirmizi dan lenan halus yang dipintal benangnya.	Efod ekagabay dhari kaen linen se alos, wol bungo, bungo terrong ban mera, sarta bennang emmas.
Mereka menempa emas papan dan dipotong-potongnyalah itu menjadi benang emas, untuk dipakankan pada kain ungu tua, pada kain ungu muda, pada kain kirmizi dan pada lenan halus: buatan seorang ahli.	Bezale’el ban Aholiyab nempa emmas epatepes sarta epalanjang, pas ethok-ketthok ekagabay bennang se tepes, pas etennon ban kaen linen se alos sarta wol se bungo, bungo terrong ban mera.
