Inilah perkataan Lemuel, raja Masa, yang diajarkan ibunya kepadanya.	Areya’ ca’-oca’ se edhabuwagi ebu Lemuwel, rato Masa ka pottrana,
Apa yang akan kukatakan, anakku, anak kandungku, anak nazarku?	"Na’, buwana tang ate, se lahir ollena tang du’a. Apa se ekoca’agiya sengko’ ka ba’na?
Jangan berikan kekuatanmu kepada perempuan, dan jalanmu kepada perempuan-perempuan yang membinasakan raja-raja.	Ja’ wang-mowang kakowadan ka oreng babine’. La bannya’ rato se ancor polana babine’.
Tidaklah pantas bagi raja, hai Lemuel, tidaklah pantas bagi raja meminum anggur, ataupun bagi para pembesar mengingini minuman keras,	Kaenga’e Lemuwel! Ngenom anggur ban mato ka nom-enoman kerras, ta’ pantes monggu ka pangobasa.
jangan sampai karena minum ia melupakan apa yang telah ditetapkan, dan membengkokkan hak orang-orang yang tertindas.	Sabab, mon rato ngenom nom-enoman kerras, tanto pas loppa ka hokom ban ta’ marduli ha’na oreng se ta’ andhi’ kakowadan.
Berikanlah minuman keras itu kepada orang yang akan binasa, dan anggur itu kepada yang susah hati.	Nom-enoman kerras reya kaangguy oreng se nyangsara ban sossa atena.
Biarlah ia minum dan melupakan kemiskinannya, dan tidak lagi mengingat kesusahannya.	Reng-oreng jareya ngenom terro loppa’a ka kameskenanna ban ka kasossa’anna.
Bukalah mulutmu untuk orang yang bisu, untuk hak semua orang yang merana.	Tolonge oreng se ta’ bisa nolong aba’na dibi’. Pasalamettagi ha’na oreng se ta’ bisa apa-rapa.
Bukalah mulutmu, ambillah keputusan secara adil dan berikanlah kepada yang tertindas dan yang miskin hak mereka.	Aperrang kaangguy reng-oreng jareya, mara daddi hakim se adil. Pasalamettagi ha’na oreng mesken ban oreng se tatendhes."
Isteri yang cakap siapakah akan mendapatkannya? Ia lebih berharga dari pada permata.	Bine se cakep malarat sareyanna; bine se kantha jareya alarangan dhari enten ban barleyan.
Hati suaminya percaya kepadanya, suaminya tidak akan kekurangan keuntungan.	Lakena ta’ kera kakorangan pa-apa, sabab la parcaja ka binena jareya.
Ia berbuat baik kepada suaminya dan tidak berbuat jahat sepanjang umurnya.	Babine’ se kantha jareya ta’ tao agabay sala ka lakena, saomorra becce’ ka lakena jareya.
Ia mencari bulu domba dan rami, dan senang bekerja dengan tangannya.	Babine’ jareya bajeng makompol rame ban buluna dumba, terros etennon tadha’ ambuna.
Ia serupa kapal-kapal saudagar, dari jauh ia mendatangkan makanannya.	Dhari jauna babine’ jareya madhateng kakanan, padha ban se ejalannagi pal-kapalla dagang.
Ia bangun kalau masih malam, lalu menyediakan makanan untuk seisi rumahnya, dan membagi-bagikan tugas kepada pelayan-pelayannya perempuan.	Gi’ petteng la jaga nyadhiya’agiya kakanna saessena bengkona, sarta gi-magiya lalakon ka reng-barengnga.
Ia membeli sebuah ladang yang diingininya, dan dari hasil tangannya kebun anggur ditanaminya.	Babine’ jareya nyare tana pas ebelli, pas namenne kebbun anggur dhari hasella lakona.
Ia mengikat pinggangnya dengan kekuatan, ia menguatkan lengannya.	Babine’ jareya nyadhiya’agi badanna alalakona salar-kellarra.
Ia tahu bahwa pendapatannya menguntungkan, pada malam hari pelitanya tidak padam.	Babine’ jareya tao sabarang se elakone madhateng kaontongan; mon alalakon sampe’ ce’ malemma.
Tangannya ditaruhnya pada jentera, jari-jarinya memegang pemintal.	Bennang epente, kaen etennon.
Ia memberikan tangannya kepada yang tertindas, mengulurkan tangannya kepada yang miskin.	Ta’ cerre’ ka oreng se kakorangan, bagus atena ka oreng se marlowagi partolongan.
Ia tidak takut kepada salju untuk seisi rumahnya, karena seluruh isi rumahnya berpakaian rangkap.	Babine’ jareya ta’ kobater mon la mosem cellep, sabab la nyadhiya’agi kalambi panas kaangguy saessena bengkona.
Ia membuat bagi dirinya permadani, lenan halus dan kain ungu pakaiannya.	Babut e bengkona gabayanna dibi’, bariya keya kalambina se dhari kaen linen bungo terrong se bagus.
Suaminya dikenal di pintu gerbang, kalau ia duduk bersama-sama para tua-tua negeri.	Lakena oreng se kalonta nyamana, sala settong dhari pamimpin e kotthana.
