Tetapi hal itu sangat mengesalkan hati Yunus, lalu marahlah ia.	Yunus ce’ ta’ sennengnga polana jareya; salerana la’-mala’ peggel.
Dan berdoalah ia kepada TUHAN, katanya: "Ya TUHAN, bukankah telah kukatakan itu, ketika aku masih di negeriku? Itulah sebabnya, maka aku dahulu melarikan diri ke Tarsis, sebab aku tahu, bahwa Engkaulah Allah yang pengasih dan penyayang, yang panjang sabar dan berlimpah kasih setia serta yang menyesal karena malapetaka yang hendak didatangkan-Nya.	Yunus pas adu’a, "Adhu GUSTE, abdidalem gu ta’ ampon mator sabellunnepon mangkat dhari compo’ gi’ dhimen, ja’ Junandalem tanto alampa’agi kadi ka’dhinto? Ka’dhinto sabappepon aponapa abdidalem me’ terros buru ka Spanyol! Abdidalem oneng jugan ja’ Junandalem ka’dhinto Allah se bellas ase, sabbar sareng ta’ gampang duka, alos, sareng ros-terrosan asadhiya ngoba’a kasokanna se ngokoma.
Jadi sekarang, ya TUHAN, cabutlah kiranya nyawaku, karena lebih baik aku mati dari pada hidup."	Samangken, GUSTE, diggal abdidalem me’ olle mate saos, sabab langkong sae mate etembang odhi’."
Tetapi firman TUHAN: "Layakkah engkau marah?"	Dhabuna PANGERAN, "Ba’na me’ gel-mapeggel kantha jareya tadha’ margana."
Yunus telah keluar meninggalkan kota itu dan tinggal di sebelah timurnya. Ia mendirikan di situ sebuah pondok dan ia duduk di bawah naungannya menantikan apa yang akan terjadi atas kota itu.	Saellana jareya Yunus meyos ka temorra kottha, sarta pas alenggi e jadhiya. Salerana abadhi ranggun sarta ngaop e dhalemmanna, sambi anante’ apa se bakal kadaddiyana e kottha Niniwe.
Lalu atas penentuan TUHAN Allah tumbuhlah sebatang pohon jarak melampaui kepala Yunus untuk menaunginya, agar ia terhibur dari pada kekesalan hatinya. Yunus sangat bersukacita karena pohon jarak itu.	Daddi GUSTE Allah matombu ka’-bungka’an se nalar se anaonge Yunus sampe’ Yunus arassa senneng. Pajat iya, Yunus ce’ leburra ka bu-tombuwan jareya.
Tetapi keesokan harinya, ketika fajar menyingsing, atas penentuan Allah datanglah seekor ulat, yang menggerek pohon jarak itu, sehingga layu.	Tape kalagguwanna e baja sobbu, Allah abadhi caceng settong se agisgis ramo’na tamennan jareya, sampe’ elop.
Segera sesudah matahari terbit, maka atas penentuan Allah bertiuplah angin timur yang panas terik, sehingga sinar matahari menyakiti kepala Yunus, lalu rebahlah ia lesu dan berharap supaya mati, katanya: "Lebih baiklah aku mati dari pada hidup."	Saellana are moncar, Allah madhateng angen se panas se dhateng dhari temor. Yunus para’ kalengngerra ekenneng sonarra are se akantha se ngobbar serana. Salerana arassa potos pangarep, sarta terro seda’a. Dhabuna, "Lebbi becce’ sengko’ mate bai etembang odhi’ kantha reya!"
Tetapi berfirmanlah Allah kepada Yunus: "Layakkah engkau marah karena pohon jarak itu?" Jawabnya: "Selayaknyalah aku marah sampai mati."	Tape Allah adhabu ka Yunus, "Ba’na ta’ patot sossa talebat kantha jareya pera’ polana tamennan jareya!" Saodda Yunus, "Aponapa me’ buntenna? Ampon sapantessa abdidalem ce’ peggella kantos mate."
Lalu Allah berfirman: "Engkau sayang kepada pohon jarak itu, yang untuknya sedikitpun engkau tidak berjerih payah dan yang tidak engkau tumbuhkan, yang tumbuh dalam satu malam dan binasa dalam satu malam pula.	PANGERAN pas adhabu ka Yunus jareya, "Tamennan reya tombu pera’ e dhalem bakto samalem, sarta pas elop kalagguwanna; ba’na ta’ noro’ namen ban ta’ noro’ meyara. Maske kantha jareya ba’na arassa sossa polana tamennan jareya elop.
Bagaimana tidak Aku akan sayang kepada Niniwe, kota yang besar itu, yang berpenduduk lebih dari seratus dua puluh ribu orang, yang semuanya tak tahu membedakan tangan kanan dari tangan kiri, dengan ternaknya yang banyak?"	Masa’ Sengko’ ta’ sossa’a mekkere Niniwe, kottha se raja jareya. Sabab salaenna e kottha jareya badha ban-kebanna se ta’ kaetong bannya’na, e jadhiya gi’ badha na’-kana’ lebbi dhari saratos dhu polo ebu oreng, na’-kana’ se gi’ ta’ tao abida’agi apa se becce’ ban apa se juba’."
