Doa nabi Habakuk. Menurut nada ratapan.	Reya du’ana Nabbi Habakuk:
TUHAN, telah kudengar kabar tentang Engkau, dan pekerjaan-Mu, ya TUHAN, kutakuti! Hidupkanlah itu dalam lintasan tahun, nyatakanlah itu dalam lintasan tahun; dalam murka ingatlah akan kasih sayang!	Adhu GUSTE, abdidalem ampon mereng ponapa se elampa’agi Junandalem daddi abdidalem arassa khidmat e dhalem ate. Ngereng olange pole lalakon raja gapaneka, ngereng nyata’agi samangken e jaman abdidalem paneka. Kasokana Junandalem apareng kabellasan sanare Junandalem ce’ dukana ka abdidalem sadaja.
Allah datang dari negeri Teman dan Yang Mahakudus dari pegunungan Paran. Sela. Keagungan-Nya menutupi segenap langit, dan bumipun penuh dengan pujian kepada-Nya.	Junandalem Allah Se Mahasocce se rabu dhari Téman, Junandalem rabu dhari Pagunongan Paran. Langnge’ katotoban sareng kamolja’annepon Junandalem, bume possa’ sareng pojiyan kaator ka Junandalem.
Ada kilauan seperti cahaya, sinar cahaya dari sisi-Nya dan di situlah terselubung kekuatan-Nya.	Junandalem rabu sareng sonar se talebat tera’na, dhari astaepon Junandalem kalowar sonar se talebat terrangnga, e ka’dhissa’ pangerrebbannepon kobasana Junandalem.
Mendahului-Nya berjalan penyakit sampar dan demam mengikuti jejak-Nya.	Junandalem makon panyaket ajalan e ajunanna sareng maot e bingkengnga.
Ia berdiri, maka bumi dibuat-Nya bergoyang; Ia melihat berkeliling, maka bangsa-bangsa dibuat-Nya melompat terkejut, hancur gunung-gunung yang ada sejak purba, merendah bukit-bukit yang berabad-abad; itulah perjalanan-Nya berabad-abad.	Manabi Junandalem mendel, bume agundhek; manabi Junandalem ngoladi, sa-bangsa padha ngetter. Nong-gunong se langgeng padha ka-bengka; mo’-gumo’ se badha salanjangnga jaman pas nyellet sajan ka baba, e mo’-gumo’ gapaneka Junandalem alomampa ngabidi jaman lamba’na.
Aku melihat kemah-kemah orang Kusyan tertekan, kain-kain tenda tanah Midian menggetar.	Abdidalem nengale ra’yat Kusyan katako’an, sareng oreng Midian ter-ketterran.
Terhadap sungai-sungaikah, ya TUHAN, terhadap sungai-sungaikah murka-Mu bangkit? Atau terhadap lautkah amarah-Mu sehingga Engkau mengendarai kuda dan kereta kemenangan-Mu?	Adhu GUSTE, ponapa tase’ se andaddiyagi Junandalem duka? ponapa ngay-songay se daddi lantaranna Junandalem kantos bendu sapaneka? Junandalem netene ondhem menangka jaran sareng kareta perrang, e bakto sareng Junandalem ommattepon eparenge kamennangan.
Busur-Mu telah Kaubuka, telah Kauisi dengan anak panah. Sela. Engkau membelah bumi menjadi sungai-sungai;	Junandalem ampon nyadhiya’agi gandhiba, panaepon Junandalem esadhiya’agi se eocola. Saamponnepon gapaneka sareng Junandalem bume eseba’ ebadhi ngay-songay.
melihat Engkau, gunung-gunung gemetar, air bah menderu lalu, samudera raya memperdengarkan suaranya dan mengangkat tangannya.	Nengale Junandalem nong-gunong agundhek sadajana, dhari langnge’ toron ojan akadi se etotta’. Aeng dhari babana tana agarudhu’ sowarana, omba’na alung-gulung ce’ tenggina.
Matahari, bulan berhenti di tempat kediamannya, karena cahaya anak-anak panah-Mu yang melayang laju, karena kilauan tombak-Mu yang berkilat.	Sonarrepon panana Junandalem sasat ngabber ce’ ceppedda, tombakkepon arap-galirap, daddi are sareng bulan padha ambu e kennengnganna, ta’ ajalan.
Dalam kegeraman Engkau melangkah melintasi bumi, dalam murka Engkau menggasak bangsa-bangsa.	Junandalem ce’ dukana se meyos ka saantero bume; sa-bangsa sareng Junandalem enyek-enyek dhari panassa ate.
Engkau berjalan maju untuk menyelamatkan umat-Mu, untuk menyelamatkan orang yang Kauurapi. Engkau meremukkan bagian atas rumah orang-orang fasik dan Kaubuka dasarnya sampai batu yang penghabisan. Sela.	Junandalem maju mabebasa ommadda sareng masalamedda rato peleyanna. Pamimpinna oreng se daraka sareng Junandalem epokol kantos ajungkelang, ca-kancana se noro’ padha epamosna.
Engkau menusuk dengan anak panahnya sendiri kepala lasykarnya, yang mengamuk untuk menyerakkan aku dengan sorak-sorai, seolah-olah mereka menelan orang tertindas secara tersembunyi.	Pamimpinna pasukanna moso terbas ekenneng na-panana Junandalem, e bakto tantaraepon dhateng akadi kaleng busbus kowattepon, sopaja abdidalem sadaja asalebbudan. Reng-oreng se daraka gapaneka agella’an ce’ sennengnga, akadi oreng se ta’ asa’-kasa’ nyeksa oreng se kakorangan.
Dengan kuda-Mu, Engkau menginjak laut, timbunan air yang membuih.	Sareng jarannepon Junandalem, Junandalem nyek-ngenyek tase’ raja sarta sagara se kapo’na ngapote.
