Peliharalah kasih persaudaraan!	Sampeyan kodu saleng taresna menangka reng-oreng Kristen se ataretanan.
Jangan kamu lupa memberi tumpangan kepada orang, sebab dengan berbuat demikian beberapa orang dengan tidak diketahuinya telah menjamu malaikat-malaikat.	Ja’ ka-sengka narema oreng e compo’na sampeyan, sanare sampeyan gi’ ta’ kennal ka oreng ganeka. Sabab kalaban sapaneka, oneng badha oreng, epanggi narema malaekat e compo’na sanare oreng gapaneka ta’ oneng.
Ingatlah akan orang-orang hukuman, karena kamu sendiri juga adalah orang-orang hukuman. Dan ingatlah akan orang-orang yang diperlakukan sewenang-wenang, karena kamu sendiri juga masih hidup di dunia ini.	Kaemodi reng-oreng se epenjara, anggep sampeyan jugan badha e penjara apolong sareng reng-oreng ganeka. Ban reng-oreng se ekaneyaja ban eseksa, kaemodi reng-oreng ganeka akadi sampeyan jugan ekaneyaja sareng eseksa akadi reng-oreng ganeka.
Hendaklah kamu semua penuh hormat terhadap perkawinan dan janganlah kamu mencemarkan tempat tidur, sebab orang-orang sundal dan pezinah akan dihakimi Allah.	Oreng kodu hormat ka odhi’ alake bine, daddi oreng lalake’ ban babine’ se alake bine kodu padha saleng esto. Oreng se odhi’na cemmer ban azina bakal eadilana bi’ Allah.
Janganlah kamu menjadi hamba uang dan cukupkanlah dirimu dengan apa yang ada padamu. Karena Allah telah berfirman: "Aku sekali-kali tidak akan membiarkan engkau dan Aku sekali-kali tidak akan meninggalkan engkau."	Ja’ sampe’ odhi’na sampeyan ekobasae pekkeran lebur ka pesse, nangeng panarema sareng ponapa se ekaandhi’ sampeyan. Sabab Allah ampon adhabu, "Bi’ Sengko’ ba’na ta’ edina’a ban ta’ edina’agiya."
Sebab itu dengan yakin kita dapat berkata: "Tuhan adalah Penolongku. Aku tidak akan takut. Apakah yang dapat dilakukan manusia terhadap aku?"	Daddi sampeyan ban kaula bangal ngoca’a, "Pangeran tang Panolong, sengko’ ta’ tako’. Manossa ta’ kera bisa apa-rapa ka sengko’."
Ingatlah akan pemimpin-pemimpin kamu, yang telah menyampaikan firman Allah kepadamu. Perhatikanlah akhir hidup mereka dan contohlah iman mereka.	Ja’ paloppa ka pin-pamimpinna sampeyan se manapa’ pessenna Allah ka sampeyan. Tetene kadi ponapa odhi’na sareng sedana reng-oreng ganeka, ban tero imanna.
Yesus Kristus tetap sama, baik kemarin maupun hari ini dan sampai selama-lamanya.	Isa Almasih paggun padha, gi’ dhimen, samangken ban salanjangnga.
Janganlah kamu disesatkan oleh berbagai-bagai ajaran asing. Sebab yang baik ialah, bahwa hati kamu diperkuat dengan kasih karunia dan bukan dengan pelbagai makanan yang tidak memberi faedah kepada mereka yang menuruti aturan-aturan makanan macam itu.	Ja’ sampe’ sampeyan nyaleyot polana sadajana pangajaran se ne-ane. Atena sampeyan sareng kaula sadaja kodu epakowat sareng rahmadda Allah; ganeka se sae, banne epakowat polana atoran-atoran parkara kakanan. Reng-oreng se gi’ dhimen atoro’ ka atoran-atoran ganeka ta’ olle pa-ponapa.
Kita mempunyai suatu mezbah dan orang-orang yang melayani kemah tidak boleh makan dari apa yang di dalamnya.	Sampeyan sareng kaula sadaja gadhuwan mezba kaangguy ngatorragi kurban ka Allah. Mam-imam se aladine e Kemah Socce, ta’ kengeng adha’ar kurban se badha e attas mezba ganeka.
Karena tubuh binatang-binatang yang darahnya dibawa masuk ke tempat kudus oleh Imam Besar sebagai korban penghapus dosa, dibakar di luar perkemahan.	Dharana keban se eatorragi menangka kurban kaangguy palebbaranna dusa, ebakta sareng imam agung ka Kennengngan Se Mahasocce, nangeng babathangnga keban ganeka dibi’ eobbar e lowarra parkemahan.
