Dari penatua kepada Gayus yang kekasih, yang kukasihi dalam kebenaran.	Taretan Gayus se kakase! Kaula, pamimpinna jema’at, neser onggu ka sampeyan;
Saudaraku yang kekasih, aku berdoa, semoga engkau baik-baik dan sehat-sehat saja dalam segala sesuatu, sama seperti jiwamu baik-baik saja.	kaula nyo’on ka Pangeran moga-moga sampeyan eparengngana baras ban ta’ manggi alangan pa-ponapa, akadi sokmana sampeyan ta’ manggi alangan pa-ponapa.
Sebab aku sangat bersukacita, ketika beberapa saudara datang dan memberi kesaksian tentang hidupmu dalam kebenaran, sebab memang engkau hidup dalam kebenaran.	Kaula ce’ peragga e bakto badha tan-taretan Kristen dhateng ban abala ka kaula saponapa estona sampeyan ka Allah se lerres, sabab sampeyan pajat terros odhi’ atoro’ ka pangajaranna Allah.
Bagiku tidak ada sukacita yang lebih besar dari pada mendengar, bahwa anak-anakku hidup dalam kebenaran.	Tadha’ se lebbi maperak kaula etembang se ngedhing ja’ na’-ana’ kaula padha odhi’ menorot pangajaranna Allah.
Saudaraku yang kekasih, engkau bertindak sebagai orang percaya, di mana engkau berbuat segala sesuatu untuk saudara-saudara, sekalipun mereka adalah orang-orang asing.	Taretan! Sampeyan ce’ estona e dhalem lalakonna sampeyan kaangguy ca-kanca se padha Kristenna; la’-mala’ reng-oreng Kristen se sampeyan gi’ ta’ kennal, bi’ sampeyan eladine.
Mereka telah memberi kesaksian di hadapan jemaat tentang kasihmu. Baik benar perbuatanmu, jikalau engkau menolong mereka dalam perjalanan mereka, dengan suatu cara yang berkenan kepada Allah.	Reng-oreng ganeka ampon notorragi ka jema’at e kennengngan kaula parkara kataresna’anna sampeyan. Tolong reng-oreng ganeka me’ olle bisa nerrossagi parjalananna, ban kalaban cara se sapaneka masenneng panggaliyanna Allah,
Sebab karena nama-Nya mereka telah berangkat dengan tidak menerima sesuatupun dari orang-orang yang tidak mengenal Allah.	sabab e dhalem parjalanan kaangguy aladine Almasih, reng-oreng ganeka ta’ narema bantowan pa-ponapa dhari reng-oreng se ta’ kennal ka Allah.
Kita wajib menerima orang-orang yang demikian, supaya kita boleh mengambil bagian dalam pekerjaan mereka untuk kebenaran.	Daddi, sampeyan ban kaula sadaja se Kristen paneka kodu nolong ca-kanca se padha Kristenna akadi reng-oreng ganeka, sopaja sampeyan ban kaula sadaja bisa noro’ tan-taretan e dhalem ehteyarra kaangguy mabalattra pangajaran se lerres dhari Allah.
Aku telah menulis sedikit kepada jemaat, tetapi Diotrefes yang ingin menjadi orang terkemuka di antara mereka, tidak mau mengakui kami.	Kaula ampon noles sorat se pandha’ ka jema’at, nangeng Diotrefes se terro daddiya pamimpinna jema’at, ta’ poron atoro’ ka kaula.
Karena itu, apabila aku datang, aku akan meminta perhatian atas segala perbuatan yang telah dilakukannya, sebab ia meleter melontarkan kata-kata yang kasar terhadap kami; dan belum merasa puas dengan itu, ia sendiri bukan saja tidak mau menerima saudara-saudara yang datang, tetapi juga mencegah orang-orang, yang mau menerima mereka dan mengucilkan orang-orang itu dari jemaat.	Dhaggi’ mon kaula ampon napa’ ka’anja, kaula mokka’a sadajana se ampon elakone oreng ganeka, enggi paneka ra-parkara se jahat ban lecek se ekoca’agi oreng ganeka parkara kaula sadaja! Nangeng ganeka sadaja gi’ ta’ cokop monggu ka oreng ganeka. E bakto ca-kanca sasama Kristen ka’issa’ dhateng, oreng ganeka ta’ poron narema. La’-mala’ alarang reng-oreng se narema’a reng-oreng Kristen se dhateng ganeka, ban oreng ganeka nyoro reng-oreng gella’ kalowar dhari jema’at!
Saudaraku yang kekasih, janganlah meniru yang jahat, melainkan yang baik. Barangsiapa berbuat baik, ia berasal dari Allah, tetapi barangsiapa berbuat jahat, ia tidak pernah melihat Allah.	Taretan se kakase, ja’ nero barang se juba’. Tero se sae. Oreng se lalakonna sae, kaagunganna Allah. Ban oreng se lalakonna juba’ gi’ ta’ kennal ka Allah.
Tentang Demetrius semua orang memberi kesaksian yang baik, malah kebenaran sendiri memberi kesaksian yang demikian. Dan kami juga memberi kesaksian yang baik tentang dia, dan engkau tahu, bahwa kesaksian kami adalah benar.	Sadajana oreng padha ngalem Demetriyus. La’-mala’ Allah ngalem jugan. Kaula sadaja jugan ngalem, ban sampeyan oneng, taretan, ja’ se ekoca’agi kaula sadaja ekenneng parcaja.
Banyak hal yang harus kutuliskan kepadamu, tetapi aku tidak mau menulis kepadamu dengan tinta dan pena.	Ce’ bannya’na se terro ekoca’agiya kaula ka Sampeyan, nangeng ca’na kaula bango’an ta’ ngangguy sorat.
Aku harap segera berjumpa dengan engkau dan berbicara berhadapan muka. Damai sejahtera menyertai engkau! Salam dari sahabat-sahabatmu. Sampaikanlah salamku kepada sahabat-sahabat satu per satu.	Kaula ngarep duliya bisa tapanggi bi’ sampeyan, daddi kaula ban sampeyan bisa abu-dhabu dhep-adhebban. Moga-moga Pangeran aberkadana sampeyan. Ca-kancana sampeyan e kennengngan kaula paneka akerem salam ka sampeyan. Panapa’agi salam kaula ka sadajana ca-kanca bang-sebang.
